RabA,RabB,RabC,RabD,RabE,area,memC1,memC2,memC3,memS,memS1,memS2,memS3,membraneMarker,proton,solL,solS,solubleMarker,volume,
15393.8,15393.8,92362.82,1554145.89,15393.8,1692690.12,228.06,302.66,653.86,1.43,16.27,32.06,469.78,0.0,159.54,0.0,0.0,1.0,1.658211142E7,
1580535.26,46181.41,15393.8,15393.8,15393.8,1672898.09,6894.59,10.31,76.69,0.0,884.22,1147.15,1441.68,1.0,70.51,0.0,0.0,0.0,1.609300808E7,
15393.8,15393.8,61575.22,1492570.67,15393.8,1600327.3,228.06,302.66,653.86,1.31,14.65,27.08,466.68,0.0,156.86,0.0,0.0,1.0,1.577393671E7,
1534353.85,15393.8,15393.8,15393.8,15393.8,1595929.07,6696.26,3.4,75.98,0.0,841.57,1071.23,1400.46,1.0,68.14,0.0,0.0,0.0,1.541952915E7,
15393.8,15393.8,61575.22,1430995.45,15393.8,1538752.08,228.06,302.66,653.86,1.18,13.0,22.53,458.26,0.0,152.83,0.0,0.0,1.0,1.523515357E7,
1509064.03,15393.8,15393.8,15393.8,15393.8,1570639.25,6587.63,3.38,75.49,0.0,827.12,1024.26,1409.37,1.0,67.55,0.0,0.0,0.0,1.515532022E7,
15393.8,15393.8,30787.61,1400207.85,15393.8,1477176.87,228.06,302.66,490.4,1.07,11.61,19.65,452.63,0.0,150.1,0.0,0.0,1.0,1.469637043E7,
1600327.3,123150.43,15393.8,15393.8,15393.8,1769659.14,7151.63,3.03,76.16,0.0,843.9,1070.64,1467.28,1.0,71.09,0.0,0.0,0.0,1.68793712E7,
30787.61,15393.8,30787.61,1354026.43,15393.8,1446389.26,317.99,302.66,207.13,1.0,10.95,42.98,449.24,0.0,145.39,0.0,0.0,1.0,1.442697886E7,
1630015.35,107756.63,15393.8,15393.8,15393.8,1783953.39,7019.06,2.66,76.16,0.0,821.85,1017.17,1457.47,1.0,69.46,0.0,0.0,0.0,1.723150486E7,
15393.8,15393.8,15393.8,1338632.63,15393.8,1400207.85,159.0,302.66,103.56,0.89,9.46,41.15,441.95,0.0,142.68,0.0,0.0,1.0,1.40228915E7,
1645409.15,123150.43,15393.8,15393.8,15393.8,1814741.0,7310.63,1.77,76.16,0.01,821.75,1012.55,1467.05,1.0,70.81,0.0,0.0,0.0,1.750089643E7,
15393.8,15393.8,15393.8,1446389.26,46181.41,1538752.08,159.0,302.66,103.57,0.94,10.11,43.47,477.65,0.0,146.8,0.0,0.0,1.0,1.523515357E7,
1663002.07,92362.82,15393.8,15393.8,15393.8,1801546.31,7369.1,1.59,78.19,0.0,822.28,987.73,1495.34,1.0,69.22,0.0,0.0,0.0,1.742059257E7,
15393.8,15393.8,15393.8,1615721.1,46181.41,1708083.93,159.0,302.67,84.07,0.95,10.7,45.37,515.89,0.0,148.14,0.0,0.0,1.0,1.67168072E7,
1632214.46,46181.41,15393.8,15393.8,15393.8,1724577.29,7232.67,1.32,78.19,0.0,800.69,936.18,1483.27,1.0,67.61,0.0,0.0,0.0,1.674711365E7,
15393.8,15393.8,46181.41,1708083.93,76969.02,1862021.97,159.0,302.67,293.5,0.99,11.38,45.08,561.74,0.0,151.85,0.0,0.0,1.0,1.806376505E7,
1586033.05,15393.8,15393.8,15393.8,15393.8,1647608.27,7036.63,0.64,76.08,0.0,771.64,877.29,1455.45,1.0,67.05,0.0,0.0,0.0,1.607363472E7,
15393.8,15393.8,107756.63,1754265.34,107756.63,2000566.2,159.0,302.66,502.73,1.0,11.49,61.26,610.4,0.0,157.05,0.0,0.0,1.0,1.927602712E7,
1572838.36,15393.8,15393.8,15393.8,15393.8,1634413.58,7007.91,0.65,76.48,0.0,768.57,849.41,1474.79,1.0,66.5,0.0,0.0,0.0,1.578067317E7,
15393.8,15393.8,76969.02,1738871.53,46181.41,1892809.57,159.0,302.66,359.09,0.92,10.29,53.31,582.78,0.0,149.37,0.0,0.0,1.0,1.833315662E7,
1636612.69,46181.41,15393.8,15393.8,15393.8,1728975.52,7258.96,0.64,76.03,0.0,763.99,854.73,1503.34,1.0,69.0,0.0,0.0,0.0,1.654539818E7,
15393.8,15393.8,76969.02,1708083.93,46181.41,1862021.97,159.0,302.66,359.09,0.86,9.2,47.42,579.29,0.0,147.17,0.0,0.0,1.0,1.806376505E7,
1630015.35,15393.8,15393.8,15393.8,15393.8,1691590.56,7124.4,0.32,76.03,0.0,743.49,813.81,1481.42,1.0,67.32,0.0,0.0,0.0,1.630889972E7,
15393.8,15393.8,76969.02,1785052.95,76969.02,1969778.59,159.0,302.66,374.76,0.84,8.74,48.42,603.1,0.0,149.26,0.0,0.0,1.0,1.900663555E7,
1580535.26,15393.8,15393.8,15393.8,15393.8,1642110.48,7042.03,0.32,75.87,0.0,735.08,786.63,1482.93,1.0,66.77,0.0,0.0,0.0,1.585616267E7,
15393.8,15393.8,30787.61,1800446.75,138544.24,2000566.2,159.0,302.66,374.76,0.82,8.41,45.7,618.68,0.0,150.33,0.0,0.0,1.0,1.927602712E7,
1628915.79,30787.61,30787.61,15393.8,15393.8,1721278.62,7260.83,0.32,74.99,0.0,727.17,793.44,1499.85,1.0,69.28,0.0,0.0,0.0,1.648616536E7,
