#cisterns#,#vesicles#,entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,
7.0,24.0,1.50924,0.72414,0.37188,0.16159,0.12312,0.11948,0.22393,
8.0,7.0,1.55081,0.65573,0.29863,0.16987,0.20557,0.09665,0.22928,
8.0,16.0,1.55919,0.6231,0.29789,0.18021,0.18977,0.10618,0.22594,
8.0,26.0,1.5715,0.5909,0.30152,0.1856,0.19052,0.128,0.19435,
8.0,13.0,1.57507,0.62942,0.22679,0.2241,0.26431,0.12022,0.16458,
10.0,17.0,1.53841,0.47769,0.23599,0.3341,0.13172,0.12736,0.17082,
8.0,5.0,1.51253,0.61146,0.20402,0.3556,0.11213,0.11024,0.218,
8.0,12.0,1.50582,0.63258,0.19723,0.25167,0.10983,0.09891,0.34236,
9.0,21.0,1.52082,0.57345,0.1816,0.14238,0.24122,0.09502,0.33978,
8.0,10.0,1.45686,0.67008,0.17068,0.42872,0.17207,0.08694,0.14158,
8.0,17.0,1.57656,0.63375,0.1813,0.20697,0.1724,0.29727,0.14206,
8.0,25.0,1.58366,0.6157,0.18533,0.20039,0.16635,0.28956,0.15836,
10.0,12.0,1.55995,0.52901,0.19022,0.28853,0.25422,0.12759,0.13944,
9.0,9.0,1.52208,0.59918,0.1359,0.34358,0.25626,0.13104,0.13321,
8.0,9.0,1.50333,0.72297,0.13532,0.23235,0.25194,0.06797,0.31242,
7.0,13.0,1.52863,0.6874,0.13934,0.20431,0.26143,0.08992,0.30498,
7.0,13.0,1.52034,0.66139,0.14077,0.19401,0.12424,0.16741,0.37356,
7.0,10.0,1.51898,0.7148,0.11758,0.20253,0.15647,0.15132,0.3721,
6.0,26.0,1.48916,0.65386,0.07921,0.22686,0.13737,0.18362,0.37293,
6.0,26.0,1.56812,0.55472,0.13728,0.20816,0.17541,0.16885,0.31031,
7.0,11.0,1.57736,0.59364,0.22343,0.1091,0.20404,0.24836,0.21507,
7.0,29.0,1.54473,0.57333,0.21224,0.07767,0.23638,0.27441,0.19929,
8.0,11.0,1.59512,0.55954,0.18832,0.16194,0.19873,0.26519,0.18582,
10.0,14.0,1.5962,0.47052,0.17621,0.20377,0.16801,0.26216,0.18985,
9.0,3.0,1.59728,0.46734,0.23611,0.15915,0.18657,0.23707,0.18109,
10.0,4.0,1.51939,0.54803,0.20301,0.18563,0.19502,0.33926,0.07708,
11.0,7.0,1.60802,0.4823,0.20485,0.18935,0.19539,0.2188,0.19161,
11.0,10.0,1.59662,0.45706,0.20218,0.18801,0.2619,0.16809,0.17982,
9.0,12.0,1.5439,0.57084,0.19884,0.20727,0.23208,0.07884,0.28297,
8.0,10.0,1.54266,0.65701,0.19643,0.27403,0.16061,0.27746,0.09146,
8.0,13.0,1.54432,0.62839,0.20082,0.26854,0.15979,0.27869,0.09217,
8.0,15.0,1.55152,0.60682,0.20746,0.26272,0.13934,0.28044,0.11005,
8.0,22.0,1.53376,0.5932,0.20355,0.27297,0.12715,0.10221,0.29411,
10.0,7.0,1.56402,0.63867,0.20816,0.21414,0.18697,0.10418,0.28656,
10.0,13.0,1.56174,0.65969,0.17804,0.21544,0.2288,0.10023,0.2775,
8.0,16.0,1.51554,0.68859,0.16369,0.21293,0.24922,0.06698,0.30718,
8.0,14.0,1.53597,0.63658,0.15396,0.18289,0.26057,0.0954,0.30718,
8.0,43.0,1.53315,0.6134,0.14452,0.20651,0.2664,0.08926,0.2933,
8.0,18.0,1.56243,0.62939,0.13096,0.18234,0.26671,0.14242,0.27757,
9.0,9.0,1.52126,0.72149,0.20473,0.08733,0.32739,0.14005,0.24049,
7.0,9.0,1.49508,0.75792,0.17712,0.12074,0.34811,0.26627,0.08776,
8.0,8.0,1.52699,0.77523,0.14395,0.17453,0.31903,0.26509,0.09739,
8.0,15.0,1.57416,0.70794,0.25145,0.17457,0.18412,0.26627,0.12359,
7.0,12.0,1.56838,0.738,0.22045,0.1696,0.17492,0.30299,0.13204,
7.0,13.0,1.5854,0.64762,0.2287,0.17986,0.214,0.24948,0.12795,
9.0,22.0,1.5825,0.55385,0.18767,0.17147,0.24145,0.26301,0.1364,
7.0,11.0,1.5942,0.58997,0.21794,0.1787,0.2291,0.1431,0.23115,
8.0,8.0,1.58558,0.56266,0.18652,0.18975,0.2615,0.13344,0.22879,
10.0,9.0,1.58395,0.51526,0.19828,0.20027,0.269,0.12832,0.20414,
9.0,14.0,1.58548,0.45592,0.20861,0.18162,0.28052,0.14703,0.18221,
7.0,18.0,1.60025,0.46105,0.20051,0.19147,0.24984,0.16557,0.1926,
6.0,15.0,1.57236,0.4889,0.18191,0.30676,0.14696,0.16119,0.20318,
7.0,29.0,1.57236,0.4216,0.19342,0.29915,0.13496,0.16348,0.20899,
7.0,22.0,1.59159,0.48333,0.21422,0.25819,0.18913,0.14212,0.19633,
7.0,23.0,1.57369,0.45878,0.22051,0.29266,0.16666,0.13325,0.18692,
9.0,18.0,1.58553,0.38113,0.21036,0.27133,0.14344,0.20934,0.16552,
9.0,15.0,1.55714,0.45767,0.21314,0.26709,0.12039,0.26715,0.13222,
9.0,17.0,1.52872,0.52699,0.22239,0.3565,0.14611,0.13741,0.13759,
8.0,20.0,1.51156,0.60403,0.20928,0.37565,0.16345,0.13843,0.11319,
8.0,24.0,1.28828,0.60142,0.20475,0.37771,0.0,0.31646,0.10107,
9.0,13.0,1.4286,0.56999,0.21396,0.30714,0.04309,0.33255,0.10325,
